fighter_SIG.STR._round_1,fighter_SIG.STR._round_2,fighter_SIG.STR._round_3,fighter_SIG.STR._round_4,fighter_SIG.STR._round_5,fighter_SIG.STR._round_6,fighter_SIG.STR._round_7,fighter_SIG.STR._round_8,fighter_SIG.STR._round_9,fighter_SIG.STR._round_10,fighter_SIG.STR._round_11,fighter_SIG.STR._round_12,fighter_SIG.STR._round_13,fighter_SIG.STR._round_14,fighter_SIG.STR._round_15,opponent_SIG.STR._round_1,opponent_SIG.STR._round_2,opponent_SIG.STR._round_3,opponent_SIG.STR._round_4,opponent_SIG.STR._round_5,opponent_SIG.STR._round_6,opponent_SIG.STR._round_7,opponent_SIG.STR._round_8,opponent_SIG.STR._round_9,opponent_SIG.STR._round_10,opponent_SIG.STR._round_11,opponent_SIG.STR._round_12,opponent_SIG.STR._round_13,opponent_SIG.STR._round_14,opponent_SIG.STR._round_15,fighter_SIG.STR. %_round_1,fighter_SIG.STR. %_round_2,fighter_SIG.STR. %_round_3,fighter_SIG.STR. %_round_4,fighter_SIG.STR. %_round_5,fighter_SIG.STR. %_round_6,fighter_SIG.STR. %_round_7,fighter_SIG.STR. %_round_8,fighter_SIG.STR. %_round_9,fighter_SIG.STR. %_round_10,fighter_SIG.STR. %_round_11,fighter_SIG.STR. %_round_12,fighter_SIG.STR. %_round_13,fighter_SIG.STR. %_round_14,fighter_SIG.STR. %_round_15,opponent_SIG.STR. %_round_1,opponent_SIG.STR. %_round_2,opponent_SIG.STR. %_round_3,opponent_SIG.STR. %_round_4,opponent_SIG.STR. %_round_5,opponent_SIG.STR. %_round_6,opponent_SIG.STR. %_round_7,opponent_SIG.STR. %_round_8,opponent_SIG.STR. %_round_9,opponent_SIG.STR. %_round_10,opponent_SIG.STR. %_round_11,opponent_SIG.STR. %_round_12,opponent_SIG.STR. %_round_13,opponent_SIG.STR. %_round_14,opponent_SIG.STR. %_round_15,target
13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,33.0,5.0,8.0,25.0,33.0,10.0,5.0,12.0,8.0,28.0,6.0,19.0,18.0,44.0,33.0,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,0.61,0.5,0.72,0.4,0.58,0.52,0.27,0.57,0.33,0.52,0.85,0.42,0.69,0.57,0.58,17.0
21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,33.0,10.0,5.0,3.0,12.0,8.0,17.0,28.0,6.0,19.0,18.0,10.0,44.0,33.0,42.0,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,0.58,0.52,0.27,0.6,0.57,0.33,0.73,0.52,0.85,0.42,0.69,0.5,0.57,0.58,0.53,7.0
21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,33.0,10.0,5.0,3.0,12.0,8.0,17.0,28.0,6.0,19.0,18.0,10.0,44.0,33.0,42.0,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,0.58,0.52,0.27,0.6,0.57,0.33,0.73,0.52,0.85,0.42,0.69,0.5,0.57,0.58,0.53,9.0
33.0,5.0,8.0,25.0,33.0,10.0,5.0,12.0,8.0,28.0,6.0,19.0,18.0,44.0,33.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.61,0.5,0.72,0.4,0.58,0.52,0.27,0.57,0.33,0.52,0.85,0.42,0.69,0.57,0.58,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,19.0
33.0,10.0,5.0,3.0,12.0,8.0,17.0,28.0,6.0,19.0,18.0,10.0,44.0,33.0,42.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.58,0.52,0.27,0.6,0.57,0.33,0.73,0.52,0.85,0.42,0.69,0.5,0.57,0.58,0.53,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,24.0
33.0,10.0,5.0,3.0,12.0,8.0,17.0,28.0,6.0,19.0,18.0,10.0,44.0,33.0,42.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.58,0.52,0.27,0.6,0.57,0.33,0.73,0.52,0.85,0.42,0.69,0.5,0.57,0.58,0.53,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,31.0
24.0,38.0,39.0,28.0,16.0,39.0,20.0,64.0,13.0,17.0,6.0,19.0,3.0,42.0,7.0,25.0,13.0,11.0,15.0,31.0,24.0,13.0,20.0,21.0,15.0,13.0,11.0,8.0,7.0,11.0,0.48,0.52,0.39,0.45,0.53,0.38,0.71,0.59,0.65,0.43,0.4,0.79,0.33,0.45,0.77,0.73,0.81,0.39,0.55,0.5,0.7,0.46,0.46,0.43,0.37,0.43,0.4,0.47,0.53,0.44,11.0
20.0,64.0,53.0,13.0,28.0,17.0,16.0,6.0,19.0,3.0,30.0,42.0,91.0,7.0,3.0,13.0,20.0,11.0,21.0,21.0,15.0,19.0,13.0,11.0,8.0,8.0,7.0,7.0,11.0,12.0,0.71,0.59,0.54,0.65,0.6,0.43,0.76,0.4,0.79,0.33,0.41,0.45,0.65,0.77,0.5,0.46,0.46,0.5,0.43,0.44,0.37,0.42,0.43,0.4,0.29,0.47,0.28,0.53,0.44,0.25,15.0
13.0,28.0,17.0,16.0,17.0,6.0,19.0,3.0,30.0,33.0,42.0,91.0,73.0,7.0,3.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.65,0.6,0.43,0.76,0.56,0.4,0.79,0.33,0.41,0.43,0.45,0.65,0.64,0.77,0.5,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,10.0
13.0,28.0,17.0,16.0,17.0,6.0,19.0,3.0,30.0,33.0,42.0,91.0,73.0,7.0,3.0,21.0,15.0,19.0,12.0,13.0,11.0,8.0,9.0,8.0,7.0,2.0,7.0,11.0,12.0,21.0,0.65,0.6,0.43,0.76,0.56,0.4,0.79,0.33,0.41,0.43,0.45,0.65,0.64,0.77,0.5,0.44,0.37,0.42,0.32,0.43,0.4,0.29,0.39,0.47,0.28,1.0,0.53,0.44,0.25,0.3,26.0
